file_name,center_x,center_y,a,b,c,d,x,y,w,h,ssim,psnr,mse,histDitance,hashPercent,hash
2081(0).jpg,407.5,600.5,725.7110306451184,725.7110306451184,725.7110306451184,725.7110306451184,296,362,519,839,1.0,1.0,0.0,0,100.0,18444928216310251520
2081(1).jpg,365.5,893.0,964.9037516768188,964.9037516768188,964.9037516768188,964.9037516768188,155,786,576,1000,0.2612305739072892,8.735497960546994,93.55744771321615,256,99.578125,17408977785091196160
2081(2).jpg,274.0,894.0,935.0465229067482,935.0465229067482,935.0465229067482,935.0465229067482,159,785,389,1003,0.22467875896489237,7.609207075763477,89.39042785644531,256,99.671875,18343028254275013640
2082.jpg,395.0,636.5,749.1042984791904,749.1042984791904,749.1042984791904,749.1042984791904,268,390,522,883,1.0,1.0,0.0,0,100.0,18444800896299745280
2083.jpg,404.5,622.5,742.3789463609538,742.3789463609538,742.3789463609538,742.3789463609538,283,371,526,874,0.19669875343442084,6.751323553994169,96.96596618652343,256,99.828125,18446568979716669568
2084.jpg,402.0,623.0,741.4398154941506,741.4398154941506,741.4398154941506,741.4398154941506,277,372,527,874,0.19340478740917583,6.832150856316996,98.12728658040365,256,99.9375,18446674292314767488
2085.jpg,399.5,623.5,740.5082713920217,740.5082713920217,740.5082713920217,740.5082713920217,273,372,526,875,0.19045883783071088,6.871879622744997,98.66432047526041,256,99.96875,18446675391826411648
2086.jpg,398.0,624.0,740.1216116287917,740.1216116287917,740.1216116287917,740.1216116287917,270,373,526,875,0.1880383572404486,6.864322281138432,99.03913146972656,256,99.984375,18446534654338056320
2087.jpg,403.5,622.5,741.8345502873266,741.8345502873266,741.8345502873266,741.8345502873266,283,368,524,877,0.18764182437707772,6.695059117443913,97.9459218343099,256,99.875,18446498198655631488
2088.jpg,422.0,635.5,762.8527053107958,762.8527053107958,762.8527053107958,762.8527053107958,307,363,537,908,0.1536755525728014,6.700621542508624,98.79902425130209,256,99.78125,18446054665163374592
2089.jpg,403.0,641.0,757.1591642448766,757.1591642448766,757.1591642448766,757.1591642448766,282,370,524,912,0.1669024490803582,6.739294196269581,97.22770690917969,256,99.796875,18446043027345539072
2090.jpg,396.5,702.0,806.2358525890547,806.2358525890547,806.2358525890547,806.2358525890547,256,413,537,991,0.1617475554212121,6.4268965772487165,99.5249766031901,256,99.8125,18446112419387310208
2091.jpg,418.5,713.0,826.7473918918644,826.7473918918644,826.7473918918644,826.7473918918644,247,438,590,988,0.19733496915479432,6.201820001042153,95.85329630533855,256,99.8125,18446728270931034112
2092.jpg,413.5,754.0,859.940840988495,859.940840988495,859.940840988495,859.940840988495,211,513,616,995,0.1666521642165807,6.226507617487158,98.08453755696614,256,99.890625,18446737412752179200
2093.jpg,309.5,806.0,863.3807097682921,863.3807097682921,863.3807097682921,863.3807097682921,1,619,618,993,0.2601492615721523,6.688945476186512,92.01926045735676,256,99.84375,18013832781507854336
2400.jpg,295.0,799.0,851.719437373599,851.719437373599,851.719437373599,851.719437373599,61,595,529,1003,0.31384805012477196,7.895438699943915,86.7375419108073,256,99.75,18428623646684676096
2401.jpg,313.5,788.0,848.0720783046686,848.0720783046686,848.0720783046686,848.0720783046686,98,572,529,1004,0.3417435969793865,8.570180803815449,85.03238545735677,256,99.90625,18392594847539134464
2402.jpg,332.0,781.0,848.6371427176636,848.6371427176636,848.6371427176636,848.6371427176636,123,553,541,1009,0.34704203608789835,8.681172798988282,86.00546630859375,256,99.921875,18392594852106731520
2403.jpg,345.0,780.5,853.3494301867202,853.3494301867202,853.3494301867202,853.3494301867202,142,550,548,1011,0.34772381347644005,8.706225915905577,86.35613403320312,256,99.9375,18392630174186274816
2405.jpg,382.0,762.0,852.3895822920409,852.3895822920409,852.3895822920409,852.3895822920409,182,521,582,1003,0.35522799876292643,8.340873821522504,84.58478942871093,256,99.859375,18428659173328683008
2406.jpg,411.0,722.0,830.7857726273362,830.7857726273362,830.7857726273362,830.7857726273362,236,451,586,993,0.24319651680929824,7.885566044817609,95.02850545247396,256,99.859375,18433233141683486928
2407.jpg,412.0,714.5,824.775272422737,824.775272422737,824.775272422737,824.775272422737,256,437,568,992,0.1825900782842766,7.790446292342108,101.56133199055989,256,99.84375,18446736926892409024
2408.jpg,412.5,663.5,781.2736396423471,781.2736396423471,781.2736396423471,781.2736396423471,263,392,562,935,0.17886483809091894,7.531073726168468,101.8960801188151,256,99.859375,13835026175900025024
2409.jpg,399.5,645.5,759.1248250452622,759.1248250452622,759.1248250452622,759.1248250452622,275,383,524,908,0.15528774448868457,7.737075424467999,105.47596048990886,256,99.828125,13833651783145144536
2410.jpg,402.5,617.5,737.0973477092425,737.0973477092425,737.0973477092425,737.0973477092425,301,366,504,869,0.14122587685600962,7.5247747837679295,105.57477478027344,256,99.8125,11512045076261998840
2447.jpg,282.0,801.5,849.662432969706,849.662432969706,849.662432969706,849.662432969706,56,607,508,996,0.22543625454590388,9.055625831201315,101.23011840820313,256,99.5,18383584399358689280
2448.jpg,407.5,750.5,853.9944379209973,853.9944379209973,853.9944379209973,853.9944379209973,223,505,592,996,0.22933888896516127,8.533632202415749,104.17522583007812,256,99.734375,16077745107482214400
2449(0).jpg,435.0,714.5,836.5017931839716,836.5017931839716,836.5017931839716,836.5017931839716,286,445,584,984,0.23734418414449304,8.143273105445633,103.25592529296875,256,99.671875,16077850535494942736
2449(1).jpg,493.5,717.5,870.8320733643197,870.8320733643197,870.8320733643197,870.8320733643197,283,446,704,989,0.19860750655350617,7.128217698322788,101.36551981608073,256,99.765625,2251658816401899777
2450.jpg,413.5,682.0,797.5626934605203,797.5626934605203,797.5626934605203,797.5626934605203,274,396,553,968,0.22372123587106837,7.800629784024321,105.94798136393229,256,99.734375,11529208177888854016
